wemp
14549|Tristop|2|1|Nevanator2005|5|3|CT Brawl||7/3/21 19:30||Dog|COMP||||||||||||||
14551|TetrisTime_|3|1|cooliceage|5|3|CT Brawl||7/3/21 19:30||Dog|COMP||||||||||||||
14551|pepe2381|2|2|TetrisTime_|5|3|CT Brawl||7/3/21 19:30||Dog|COMP||||||||||||||
14551|cooliceage|3|1|pepe2381|5|3|CT Brawl||7/3/21 19:30||Dog|COMP||||||||||||||
14553|Tetrasaurus|3|1|cheez_e|5|3|CT Brawl||7/3/21 19:30||Dog|COMP||||||||||||||
14553|Tetrasaurus|3|1|iankanetsu|5|3|CT Brawl||7/3/21 19:30||Dog|COMP||||||||||||||
14553|cheez_e|3|1|iankanetsu|5|3|CT Brawl||7/3/21 19:30||Dog|COMP||||||||||||||
15804|TotalRADNes|3|1|digginout|7|3|Tetris Friendlies||11/4/21 19:45||Kingsman|FRND||||||||||||||
15804|TotalRADNes|4|0|joshualtolles|7|3|Tetris Friendlies||11/4/21 19:45||Kingsman|FRND||||||||||||||
15804|joshualtolles|0|4|digginout|7|3|Tetris Friendlies||11/4/21 19:45||Kingsman|FRND||||||||||||||
17819|the_stone69|2|2|mel0nsoda25|5|3|CT Brawl||6/6/21 15:00||Dog|COMP||||||||||||||
17819|tuginhooo|2|2|the_stone69|5|3|CT Brawl||6/6/21 15:00||Dog|COMP||||||||||||||
17819|tuginhooo|2|2|mel0nsoda25|3|2|CT Brawl||6/6/21 15:00||Dog|COMP||||||||||||||
17822|guerreroasdf|0|3|vicious_rhubarb|5|3|CT Brawl||6/6/21 17:00||Dog|COMP||||||||||||||
17822|guerreroasdf|1|2|TetrisTime_|5|3|CT Brawl||6/6/21 17:00||Dog|COMP||||||||||||||
17822|TetrisTime_|1|2|vicious_rhubarb|5|3|CT Brawl||6/6/21 17:00||Dog|COMP||||||||||||||
17825|iball1_|0|3|danvinki|5|3|CT Brawl||6/6/21 19:00||Dog|COMP||||||||||||||
17825|ngc_man25|2|1|iball1_|5|3|CT Brawl||6/6/21 19:00||Dog|COMP||||||||||||||
17825|ngc_man25|2|1|danvinki|5|3|CT Brawl||6/6/21 19:00||Dog|COMP||||||||||||||
18318|vicious_rhubarb|4|1|MylesTheGreat|7|3|CT League|Season 13|22/06/2021 01:40:00|Division 1/2|Moodeuce|COMP||||||||||||||
18318|vicious_rhubarb|3|2|jerpidude|7|3|CT League|Season 13|22/06/2021 01:41:00|Division 1/2|Moodeuce|COMP||||||||||||||
18318|jerpidude|3|2|MylesTheGreat|7|3|CT League|Season 13|22/06/2021 01:42:00|Division 1/2|Moodeuce|COMP||||||||||||||
20414|sidnevv|3|1|heppsxd|9|3|CT League|Season 15|10/8/21 18:00|Division 1/2|Moodeuce|COMP||||||||||||||
20414|sidnevv|4|0|bv_09|9|3|CT League|Season 15|10/8/21 18:01|Division 1/2|Moodeuce|COMP||||||||||||||
20414|bv_09|3|1|heppsxd|9|3|CT League|Season 15|10/8/21 18:02|Division 1/2|Moodeuce|COMP||||||||||||||
21885|the_stone69|1|2|jerpidude|5|3|CT Brawl||12/9/21 17:00||Classictetris|COMP||||||||||||||
21885|tuginhooo|0|3|jerpidude|5|3|CT Brawl||12/9/21 17:00||Classictetris|COMP||||||||||||||
21885|tuginhooo|0|3|the_stone69|5|3|CT Brawl||12/9/21 17:00||Classictetris|COMP||||||||||||||
21889|dmj_81|1|2|ngc_man25|5|3|CT Brawl||12/9/21 17:50||Classictetris|COMP||||||||||||||
21889|m3cex17|0|3|dmj_81|5|3|CT Brawl||12/9/21 17:50||Classictetris|COMP||||||||||||||
21889|m3cex17|1|2|ngc_man25|5|3|CT Brawl||12/9/21 17:50||Classictetris|COMP||||||||||||||
21893|heyonight|2|2|vicious_rhubarb|5|3|CT Brawl||12/9/21 18:50||Classictetris|COMP||||||||||||||
21893|heyonight|3|1|TetrisTime_|5|3|CT Brawl||12/9/21 18:50||Classictetris|COMP||||||||||||||
21893|TetrisTime_|2|2|vicious_rhubarb|5|3|CT Brawl||12/9/21 18:50||Classictetris|COMP||||||||||||||
21901|gi_0h|1|1|MylesTheGreat|3|3|CT Brawl||12/9/21 20:10||Classictetris|COMP||||||||||||||
21901|gi_0h|0|2|vischer|3|3|CT Brawl||12/9/21 20:10||Classictetris|COMP||||||||||||||
21901|MylesTheGreat|0|2|vischer|3|3|CT Brawl||12/9/21 20:10||Classictetris|COMP||||||||||||||
